ID,Complexidade,Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y
df_ID_41,3,0.4730195878350793,0.4375,0.6958444777909523,0.2857142857142857,0.6846153846153846,0.8552253116011506
df_ID_41,1,0.6573625731362952,0.6875,0.7845877194088856,0.5,0.698076923076923,0.8370086289549377
df_ID_41,2,0.7115629896543693,0.75,0.8846889689631078,0.5,0.7076923076923077,0.8389261744966443
df_ID_41,3,0.6226656868603081,0.75,0.8679970605809241,0.25,0.7211538461538461,0.8475551294343241
df_ID_41,2,0.8105101024731752,0.8125,0.8690303074195257,0.75,0.7038461538461539,0.7555129434324065
df_ID_41,1,0.4214540973768693,0.5,0.764362292130608,0.0,0.7,0.850431447746884
df_ID_41,2,0.9007105704790573,0.9375,0.7646317114371718,1.0,0.6865384615384615,0.8360498561840843
df_ID_41,1,0.806112231384062,0.75,0.6683366941521861,1.0,0.6942307692307692,0.850431447746884
df_ID_41,3,0.4974702680829619,0.4375,0.8549108042488857,0.19999999999999996,0.7096153846153846,0.8513902205177373
df_ID_41,3,0.7266363693568496,0.5,0.6799091080705487,1.0,0.6846153846153846,0.8552253116011506
df_ID_41,1,0.7737508075588808,0.5625,0.7587524226766424,1.0,0.698076923076923,0.8370086289549377
df_ID_41,2,0.536779910428408,0.25,0.860339731285224,0.5,0.7076923076923077,0.8389261744966443
df_ID_41,3,0.7708036806410107,0.5,0.8124110419230324,1.0,0.7211538461538461,0.8475551294343241
df_ID_41,2,0.6432041995055584,0.375,0.8046125985166752,0.75,0.7038461538461539,0.7555129434324065
df_ID_41,1,0.5748596243658121,0.5,0.7245788730974363,0.5,0.7,0.850431447746884
df_ID_41,2,0.8331224687151261,0.8163265306122449,0.7108186533109108,0.9722222222222222,0.6865384615384615,0.8360498561840843
df_ID_41,1,0.7049825863097648,0.4375,0.6774477589292943,1.0,0.6942307692307692,0.850431447746884
df_ID_41,3,0.5718660094112672,0.3125,0.8030980282338017,0.6,0.7096153846153846,0.8513902205177373
df_ID_44,3,0.5072618561813939,0.5625,0.673571282829896,0.2857142857142857,0.7365384615384616,0.8581016299137104
df_ID_44,1,0.714883159860746,0.4375,0.707149479582238,1.0,0.375,0.7401725790987536
df_ID_44,2,0.42480919464638695,0.5,0.7744275839391608,0.0,0.7384615384615385,0.7890699904122723
df_ID_44,3,0.43927814925727865,0.5,0.8178344477718361,0.0,0.7615384615384615,0.8715244487056567
df_ID_44,2,0.5678300131944148,0.6875,0.7659900395832446,0.25,0.6076923076923076,0.700862895493768
df_ID_44,1,0.4473790552002121,0.625,0.7171371656006362,0.0,0.7403846153846154,0.8744007670182167
df_ID_44,2,0.6515172901782803,0.875,0.7462185372015077,0.33333333333333337,0.7519230769230769,0.862895493767977
df_ID_44,1,0.9180476918556671,1.0,0.7541430755670013,1.0,0.7423076923076923,0.8763183125599233
df_ID_44,3,0.6330778303009942,0.6875,0.8117334909029824,0.4,0.698076923076923,0.7861936720997124
df_ID_44,3,0.8326523228646275,0.875,0.6229569685938829,1.0,0.7365384615384616,0.8581016299137104
df_ID_44,1,0.6855485724490964,0.375,0.6816457173472893,1.0,0.375,0.7401725790987536
