,Número da Trajetória,Sorteio,Tempo 1,Tempo 2,ID,Fase,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada,Acuracia,Media Acuracia,Taxa de Falsos Positivos,Media FPR,Similaridade,Media Similaridade,Desempenho,Desempenho ponderado com proporção,Complexidade,nivel
90,1,6,737439.8311103125,737439.8313996644,df_ID_14,Fase Execucao,0.16666666666666669,0.13546644909899946,0.8326923076923077,0.7929050814956855,"[1, 3, 1, 3, 3, 1, 2, 2, 2, 4, 4, 4]","[1, 3, 1, 3, 1, 2, 4]",0.5,0.5555555555555556,0.7142857142857143,0.4396825396825397,0.7266376295437166,0.7586270824468584,0.5041173050860007,0.40974588749614493,4,Fácil
91,2,3,737439.832531331,737439.8328206829,df_ID_14,Fase Execucao,0.6,0.47510472748727783,0.926923076923077,0.6567593480345159,"[1, 3, 1, 3, 4, 4, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4, 2, 2, 2, 4, 4, 4]","[1, 3, 1, 3, 4, 1, 3, 2, 4, 2, 4]",0.8125,0.5555555555555556,0.75,0.4396825396825397,0.7602631123499285,0.7586270824468584,0.6075877041166429,0.48111298431493066,4,Fácil
92,3,16,737439.8344242246,737439.834713588,df_ID_14,Fase Execucao,0.30000000000000004,0.25950724610959514,0.8134615384615385,0.9165867689357622,"[1, 1, 1, 3, 3, 4, 4, 3, 2, 3, 2, 3, 1, 2, 2, 4, 4, 4]","[1, 3, 4, 3, 2, 3, 2, 3, 1, 2, 4]",0.75,0.5555555555555556,1.0,0.4396825396825397,0.8595874328552265,0.7586270824468584,0.5365291442850756,0.46411066896985853,4,Fácil
93,4,11,737439.8360834144,737439.8363727662,df_ID_14,Fase Execucao,0.23809523809523808,0.23592000042143857,0.9807692307692307,1.0009587727708533,"[1, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4, 1, 4, 1, 3]","[1, 3, 2, 4, 1, 4, 1, 3]",0.625,0.5555555555555556,1.0,0.4396825396825397,0.9151022036314314,0.7586270824468584,0.5133674012104771,0.5086772775417001,6,Médio
94,5,7,737439.8379156134,737439.8382049769,df_ID_14,Fase Execucao,0.3571428571428571,0.3158458272312539,0.9307692307692308,0.837967401725791,"[3, 1, 1, 3, 1, 4, 2, 3, 3, 2, 2, 4, 1, 4, 2, 4]","[3, 1, 3, 1, 4, 2, 3, 2, 4, 1, 4, 2, 4]",0.75,0.5555555555555556,0.5,0.4396825396825397,0.7794228634059948,0.7586270824468584,0.6764742878019984,0.5982524268881874,6,Médio
95,6,17,737439.839264699,737439.8395540509,df_ID_14,Fase Execucao,0.40476190476190477,0.35080944742378106,0.9826923076923076,0.75071907957814,"[3, 4, 1, 3, 1, 3, 3, 4, 4, 4, 3, 1, 3, 3, 2, 2, 2, 4, 4, 4, 4]","[3, 4, 1, 3, 1, 3, 4, 3, 1, 3, 2, 4]",0.75,0.5555555555555556,0.75,0.4396825396825397,0.6903558171414631,0.7586270824468584,0.5634519390471544,0.48834700366197575,6,Médio
96,7,14,737439.8405310764,737439.8408204282,df_ID_14,Fase Execucao,0.6296296296296295,0.6012187476952577,0.9576923076923077,0.9520613614573347,"[1, 3, 1, 1, 3, 4, 4, 2, 3, 3, 3, 4, 2, 4, 1, 1, 3, 3, 2, 4, 2, 2, 4, 4]","[1, 3, 1, 3, 4, 2, 3, 4, 2, 4, 1, 3, 2, 4, 2, 4]",0.6875,0.5555555555555556,1.0,0.4396825396825397,0.7399857751122119,0.7586270824468584,0.4758285917040706,0.45435769944657795,8,Difícil
97,8,8,737439.8424562153,737439.8427455787,df_ID_14,Fase Execucao,0.49999999999999994,0.4695520502986945,0.9903846153846154,0.887823585810163,"[4, 2, 3, 1, 4, 1, 3, 1, 4, 2, 3, 3, 3, 2, 4, 4, 3, 3, 2, 4, 4, 1, 3, 3, 2, 1, 1, 4, 4, 2, 2, 4]","[4, 2, 3, 1, 4, 1, 3, 1, 4, 2, 3, 2, 4, 3, 2, 4, 1, 3, 2, 1, 4, 2, 4]",0.4375,0.5555555555555556,0.0,0.4396825396825397,0.6778307646120421,0.7586270824468584,0.7051102548706808,0.6621719317223266,8,Difícil
98,9,5,737439.8435623149,737439.8438516667,df_ID_14,Fase Execucao,0.5185185185185185,0.42745846000879556,0.8884615384615384,0.7603068072866731,"[3, 1, 1, 4, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4, 1, 3, 3]","[3, 1, 4, 1, 3, 2, 4, 1, 3]",0.75,0.5555555555555556,0.8,0.4396825396825397,0.8286435198073654,0.7586270824468584,0.5928811732691218,0.4887618556380943,8,Difícil
99,1,15,737439.8457859722,737439.8460753356,df_ID_14,Fase Execucao,0.26666666666666666,0.2167463185583991,0.8326923076923077,0.7929050814956855,"[2, 3, 2, 3, 3, 2, 1, 1, 1, 4, 4, 4]","[2, 3, 2, 3, 2, 1, 4]",0.6875,0.5555555555555556,0.0,0.4396825396825397,0.6517265337144674,0.7586270824468584,0.7797421779048225,0.6337734243209197,4,Fácil
