Desempenho,Acuracia,Acuracia,Similaridade,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y,Desempenho_ponderado,Complexidade,Complexidade,grupo
0.5178770463790756,0.6875,0.6805555555555556,0.8661311391372267,0.7906001585316729,0.0,0.8615384615384616,0.862895493767977,0.4465223817249427,6,CF_MÃ©dio,CF
0.5122825142324611,0.8125,0.6805555555555556,0.7243475426973831,0.7906001585316729,0.0,0.9096153846153846,0.9683604985618408,0.4810271035509778,6,CF_MÃ©dio,CF
0.822996737099337,0.6875,0.6805555555555556,0.781490211298011,0.7906001585316729,1.0,0.8480769230769231,1.0047938638542666,0.762453305955525,6,CF_MÃ©dio,CF
0.4896089890583219,0.5625,0.6805555555555556,0.9063269671749656,0.7906001585316729,0.0,0.8442307692307692,0.8609779482262704,0.4174427581437894,8,CF_DifÃ­cil,CF
0.5167701290807313,0.75,0.6805555555555556,0.8003103872421938,0.7906001585316729,0.0,0.975,0.9156279961649088,0.4885100368108921,8,CF_DifÃ­cil,CF
0.6324206923810857,0.75,0.6805555555555556,0.8139287438099234,0.7906001585316729,0.3333333333333333,0.9346153846153846,0.9587727708533078,0.5987089241138286,8,CF_DifÃ­cil,CF
0.5444405648362717,0.6875,0.6417592592592593,0.7458216945088149,0.8052190170059915,0.1999999999999999,0.5403846153846154,0.8763183125599233,0.3856552711476622,4,CF_FÃ¡cil,CF
0.600361334897365,0.5,0.6417592592592593,0.8725125761206665,0.8052190170059915,0.4285714285714286,0.903846153846154,0.8149568552253116,0.5159514344758763,4,CF_FÃ¡cil,CF
0.4801516895156554,0.4375,0.6417592592592593,0.8029550685469662,0.8052190170059915,0.1999999999999999,0.9403846153846154,0.5474592521572388,0.3571953733678641,4,CF_FÃ¡cil,CF
0.4851606221250789,0.625,0.6417592592592593,0.8304818663752367,0.8052190170059915,0.0,0.8365384615384616,0.7775647171620326,0.3915496511761995,6,CF_MÃ©dio,CF
