Desempenho,Acuracia,Similaridade,Especificidade,Proporção espacial x,Proporção espacial y,Complexidade,grupo
0.6504696053715853,0.8125,0.7389088161147559,0.4,1,0.8494726749760306,4,CF
0.5074085680392407,0.6875,0.8347257041177223,0.0,0.9596153846153846,0.9434324065196549,6,CF
0.9311609924058621,1.0,0.7934829772175864,1.0,0.9557692307692308,0.9520613614573347,6,CF
0.8512763226250705,0.75,0.8038289678752113,1.0,0.8442307692307692,0.9319271332694151,6,CF
0.5635872751226979,0.44,0.8871254617317299,0.36363636363636365,0.9538461538461539,0.9395973154362416,8,CF
0.5555545592203196,0.8125,0.8541636776609587,0.0,0.9173076923076923,0.9578139980824545,8,CF
0.8799242424242424,0.8125,0.8272727272727273,1.0,0.925,0.9300095877277086,8,CF
0.6572522007884322,0.8125,0.7592566023652966,0.4,0.8557692307692307,0.8887823585810163,4,CF
0.4051636501707798,0.5,0.7154909505123395,0.0,0.8980769230769231,0.9271332694151486,4,CF
0.5876982108242368,0.75,0.8130946324727105,0.19999999999999996,0.9673076923076923,0.8906999041227229,4,CF
0.512294891823294,0.6875,0.8493846754698822,0.0,0.9576923076923077,0.9424736337488016,6,CF
0.918087028584798,1.0,0.7542610857543938,1.0,0.9019230769230769,0.9319271332694151,6,CF
0.8075189324907986,0.625,0.7975567974723957,1.0,0.8923076923076924,0.9319271332694151,6,CF
0.4510048415500681,0.5,0.8530145246502043,0.0,0.8288461538461539,0.9415148609779482,8,CF
0.6136106795275386,0.9375,0.9033320385826158,0.0,0.9903846153846154,0.9453499520613614,8,CF
0.9257804182804182,0.9375,0.8398412548412547,1.0,0.9365384615384615,0.9175455417066155,8,CF
0.7196599447310746,0.8125,0.7464798341932238,0.6,0.19230769230769232,0.6586768935762224,4,CF
0.48238394507127086,0.5,0.8042946923566697,0.1428571428571429,0.7692307692307693,0.6442953020134228,4,CF
0.7392567225682422,0.8,0.7749130248475834,0.6428571428571428,0.8711538461538462,0.9146692233940557,4,CF
0.4980639564021314,0.625,0.8691918692063941,0.0,0.8115384615384615,0.8092042186001918,6,CF
0.9188909830712918,1.0,0.7566729492138756,1.0,0.8711538461538462,0.7948226270373921,6,CF
0.7681376746415927,0.72,0.8066352461470002,0.7777777777777778,0.8153846153846154,0.9031639501438159,6,CF
0.7683096037335452,0.68,0.8976560839279082,0.7272727272727273,0.8057692307692308,0.8015340364333653,8,CF
0.5555545592203196,0.8125,0.8541636776609587,0.0,0.95,0.7219558964525408,8,CF
0.916110492451596,1.0,0.7483314773547882,1.0,0.8576923076923076,0.7497603068072867,8,CF
0.4057123885335454,0.5,0.7171371656006362,0.0,0.6596153846153846,0.7861936720997124,4,CF
0.6348149905421024,0.64,0.6394449716263073,0.625,0.7346153846153847,0.8993288590604027,4,CF
0.6647480366008559,0.8125,0.7817441098025678,0.4,0.8634615384615385,0.8945349952061361,4,CF
0.5635917702299821,0.8125,0.8782753106899461,0.0,0.9403846153846154,0.7545541706615532,6,CF
0.9103276590725288,0.9375,0.7934829772175864,1.0,0.9596153846153846,0.7094918504314478,6,CF
0.8379074554073962,0.8055555555555556,0.8081668106666329,0.9,0.8076923076923077,0.7804410354745925,6,CF
0.5371059180560791,0.44,0.8076813905318735,0.36363636363636365,0.8307692307692308,0.7334611697027804,8,CF
0.5555545592203196,0.8125,0.8541636776609587,0.0,0.8711538461538462,0.6030680728667306,8,CF
0.6626617514666174,0.8125,0.8421519210665189,0.33333333333333337,0.7980769230769231,0.738255033557047,8,CF
0.4464661986891187,0.5625,0.7768985960673559,0.0,0.6019230769230769,0.8485139022051774,4,CF
0.4051636501707798,0.5,0.7154909505123395,0.0,0.7365384615384616,0.7516778523489933,4,CF
0.6886135167331799,0.68,0.8144119787709684,0.5714285714285714,0.8538461538461538,0.7593480345158198,4,CF
0.5602477140414864,0.8125,0.8682431421244593,0.0,0.9134615384615384,0.7209971236816874,6,CF
0.918087028584798,1.0,0.7542610857543938,1.0,0.8288461538461539,0.7181208053691275,6,CF
0.818102629222467,0.76,0.805418998778512,0.8888888888888888,0.676923076923077,0.8993288590604027,6,CF
0.6482281231174839,0.625,0.8196843693524516,0.5,0.7865384615384615,0.7401725790987536,8,CF
0.5546972156848993,0.8125,0.8515916470546979,0.0,0.8134615384615385,0.7219558964525408,8,CF
