,Acuracia,Especificidade,Similaridade,grupo
129,0.625,0.0,0.901751403883351,CV
130,0.625,0.6666666666666667,0.8149580519916495,CV
131,0.625,1.0,0.6960909740235914,CV
132,0.625,0.5,0.8404191500829137,CV
133,0.6875,0.0,0.8945648693184409,CV
134,0.75,0.6666666666666667,0.7543296082580457,CV
135,0.5,0.0,0.7888426505157585,CV
136,0.375,0.4285714285714286,0.7828813612588127,CV
137,0.8611111111111112,0.88,0.835509977844025,CV
138,0.6875,0.0,0.7819553946303239,CV
139,0.875,0.3333333333333333,0.6985354731356996,CV
140,0.625,1.0,0.8190195582221975,CV
141,0.8125,1.0,0.7962487726019523,CV
142,0.625,0.5,0.7648368253805043,CV
143,0.7777777777777778,0.782608695652174,0.8137749871615185,CV
144,0.875,1.0,0.8227241335952167,CV
145,0.7777777777777778,0.7777777777777778,0.7874615506676529,CV
146,0.8125,0.4,0.7130572937887615,CV
147,0.625,0.0,0.8268982305947231,CV
148,0.625,0.3333333333333333,0.7960550519605026,CV
149,0.625,1.0,0.9259416862330891,CV
150,0.5625,0.0,0.8598227289184035,CV
151,0.875,0.5,0.8253159635964455,CV
152,0.625,0.0,0.8090909090909091,CV
153,0.875,1.0,0.8875,CV
154,0.6875,0.5714285714285714,0.8816620300447741,CV
155,0.875,0.6,0.8401388774085707,CV
156,0.6875,0.0,0.8629109946080097,CV
157,0.6875,0.3333333333333333,0.6878139313729228,CV
158,0.625,1.0,0.7674493861911725,CV
159,0.6875,0.5,0.8582786383559511,CV
160,0.6875,0.5,0.8655962321421531,CV
161,0.6875,0.3333333333333333,0.8002380598177972,CV
162,0.25,0.6,0.8209591223666468,CV
163,0.5,0.4285714285714286,0.85202864568461,CV
164,0.5,0.4,0.8433661407528886,CV
165,0.6875,0.0,0.8475706863595912,CV
166,0.875,0.6666666666666667,0.8504074147632635,CV
167,0.72,0.6666666666666667,0.978602761181736,CV
168,0.6875,0.5,0.8635855783597217,CV
169,0.75,0.0,0.851193151149763,CV
170,0.8765432098765432,0.8970588235294118,0.7365692408561074,CV
171,0.84,0.8571428571428572,0.855362829225267,CV
172,0.8125,0.7142857142857143,0.801275141020233,CV
173,0.75,0.7924528301886793,0.761632946873172,CV
174,0.75,0.5,0.9000299890040402,CV
175,0.875,1.0,0.8180001578404112,CV
176,0.6875,1.0,0.8490087524143928,CV
177,0.7755102040816326,0.8285714285714285,0.8268134335652642,CV
178,0.6875,0.5,0.8353890708881835,CV
179,0.7551020408163265,0.8333333333333334,0.8040761540665545,CV
180,0.8775510204081632,0.8947368421052632,0.7854091098781056,CV
181,0.6944444444444444,0.7407407407407407,0.716723634678411,CV
182,0.56,0.5714285714285714,0.8367430244040812,CV
183,0.5,0.0,0.9102564102564102,CV
184,0.8611111111111112,0.9565217391304348,0.7575158114119378,CV
185,0.72,0.8888888888888888,0.7684783583579609,CV
186,0.625,0.5,0.8449288964361521,CV
187,0.8,0.9090909090909092,0.8228705775884899,CV
188,0.6388888888888888,0.7391304347826086,0.762102355330306,CV
189,0.3125,0.8,0.8004515327301209,CV
190,0.6875,0.5714285714285714,0.8652899256018457,CV
191,0.625,0.6,0.95,CV
192,0.625,0.0,0.8320502943378437,CV
193,0.875,0.6666666666666667,0.7657198960540328,CV
194,0.9375,1.0,0.8844364220965313,CV
195,0.625,0.0,0.8926097838901892,CV
196,0.5625,0.0,0.8565866707896064,CV
197,0.7777777777777778,0.782608695652174,0.7606087305741639,CV
198,0.6875,0.6,0.7888426505157585,CV
199,0.75,0.8571428571428572,0.7987230638308717,CV
200,0.75,0.8,0.703221549687725,CV
201,0.68,0.8181818181818181,0.8334935743372821,CV
202,0.9166666666666666,1.0,0.8918346124162341,CV
203,0.76,0.8888888888888888,0.8388412769870093,CV
204,0.72,0.8181818181818181,0.8029410984014527,CV
205,0.8125,0.5,0.8221519981402327,CV
206,0.6388888888888888,0.7391304347826086,0.859593566111973,CV
207,0.8611111111111112,0.92,0.7071769271895163,CV
208,0.625,0.7142857142857143,0.8816620300447741,CV
209,0.52,0.5,0.8720983634634086,CV
210,0.625,0.0,0.885883857957808,CV
211,0.64,0.6666666666666667,0.8825378564286603,CV
212,0.4375,1.0,0.6960909740235914,CV
213,0.625,0.5,0.869907541313893,CV
214,0.75,0.5,0.883125158161351,CV
215,0.72,0.8333333333333334,0.7631984736045792,CV
216,0.8571428571428571,0.868421052631579,0.7031786595686244,CV
217,0.9375,0.8571428571428572,0.8717797887081347,CV
218,0.7777777777777778,0.84,0.8583325077599887,CV
219,0.8055555555555556,0.8636363636363636,0.780106680888219,CV
220,0.75,0.7391304347826086,0.803562871177076,CV
221,0.9375,1.0,0.8835716286288435,CV
222,0.9166666666666666,0.9545454545454546,0.8211933496215007,CV
223,0.84,0.9090909090909092,0.8103069302271354,CV
224,0.8775510204081632,0.8611111111111112,0.8489179964554188,CV
225,0.84,0.8571428571428572,0.9750356118852502,CV
226,0.7777777777777778,0.7777777777777778,0.8093354826306433,CV
227,0.8163265306122449,0.8421052631578947,0.6992342750670704,CV
228,0.9375,1.0,0.8816620300447741,CV
229,0.88,0.9166666666666666,0.8443147931189635,CV
230,0.8163265306122449,0.9090909090909092,0.902110483148544,CV
231,0.75,1.0,0.8213232037429525,CV
232,0.92,0.9090909090909092,0.9043820188701543,CV
233,0.6388888888888888,0.7391304347826086,0.859593566111973,CV
234,0.6875,0.6,0.6763760550915701,CV
235,0.625,0.7142857142857143,0.8816620300447741,CV
236,0.6111111111111112,0.6799999999999999,0.8004165582161995,CV
237,0.6944444444444444,0.8181818181818181,0.7925153987190854,CV
238,0.75,0.7391304347826086,0.8064902501659267,CV
239,0.5625,1.0,0.7764782024993039,CV
240,0.5,0.0,0.8341563788014362,CV
241,0.6875,0.5,0.8655962321421531,CV
242,0.52,0.5833333333333333,0.7905694150420949,CV
243,0.8125,0.8,0.8401388774085707,CV
244,0.6875,0.5714285714285714,0.8610567718228918,CV
245,0.75,0.4,0.8401388774085707,CV
246,0.875,0.0,0.9367659069225724,CV
247,0.6875,0.6666666666666667,0.816926420066404,CV
248,0.6875,1.0,0.855283359552053,CV
249,0.75,0.5,0.8225185296600818,CV
250,0.75,0.0,0.851193151149763,CV
251,0.84,0.8850574712643678,0.7861202672790377,CV
252,0.375,0.0,0.8375,CV
253,0.75,0.5714285714285714,0.8921320713901825,CV
254,0.8775510204081632,0.868421052631579,0.7173992292547702,CV
255,0.8,0.7272727272727273,0.8729035458601565,CV
256,0.6875,0.6666666666666667,0.8227195572487128,CV
257,0.5625,1.0,0.8070622576887474,CV
258,0.8125,0.5,0.9044600639311704,CV
259,0.75,0.0,0.8324833246120438,CV
260,0.7959183673469388,0.8611111111111112,0.774658733795827,CV
261,0.8333333333333334,0.84,0.8018632638284106,CV
262,0.56,0.5,0.7575315107724846,CV
263,0.8125,0.8,0.8401388774085707,CV
264,0.8367346938775511,0.9142857142857144,0.8276169601789948,CV
265,0.7777777777777778,0.8260869565217391,0.7917688016355612,CV
266,0.75,0.9,0.8507019059648767,CV
267,0.625,0.5,0.8449288964361521,CV
268,0.72,0.7272727272727273,0.933152372974791,CV
