,Número da Trajetória,Overlap,Tempo 1,Tempo 2,Tempo 3,ID
150,7,0.25,2019-01-09 19:50:40.626996,2019-01-09 19:50:40.628002,2019-01-09 19:50:55.635998,ID_10
151,8,0.25,2019-01-09 19:52:11.119002,2019-01-09 19:52:11.119002,2019-01-09 19:52:26.126002,ID_10
152,9,0.25,2019-01-09 19:53:35.216001,2019-01-09 19:53:34.971997,2019-01-09 19:53:50.223001,ID_10
153,1,0.5,2019-01-09 19:54:59.329999,2019-01-09 19:54:59.084999,2019-01-09 19:55:14.336998,ID_10
154,2,0.5,2019-01-09 19:56:24.567999,2019-01-09 19:56:24.567999,2019-01-09 19:56:39.574003,ID_10
155,3,0.5,2019-01-09 19:57:50.555996,2019-01-09 19:57:50.555996,2019-01-09 19:58:05.562996,ID_10
156,4,0.5,2019-01-09 19:59:14.297002,2019-01-09 19:59:14.297002,2019-01-09 19:59:29.304998,ID_10
157,5,0.5,2019-01-09 20:00:40.662004,2019-01-09 20:00:40.417004,2019-01-09 20:00:55.669003,ID_10
158,6,0.5,2019-01-09 20:02:05.156003,2019-01-09 20:02:05.156003,2019-01-09 20:02:20.163003,ID_10
159,7,0.5,2019-01-09 20:03:31.527995,2019-01-09 20:03:31.282995,2019-01-09 20:03:46.533999,ID_10
160,8,0.5,2019-01-09 20:04:55.261005,2019-01-09 20:04:55.261005,2019-01-09 20:05:10.269000,ID_10
161,9,0.5,2019-01-09 20:06:17.497000,2019-01-09 20:06:17.497996,2019-01-09 20:06:32.506002,ID_10
162,1,0.0,2019-01-15 17:28:45.763002,2019-01-15 17:28:45.763002,2019-01-15 17:29:00.789998,ID_17
163,2,0.0,2019-01-15 17:30:11.979996,2019-01-15 17:30:11.734001,2019-01-15 17:30:26.988002,ID_17
164,3,0.0,2019-01-15 17:31:38.316995,2019-01-15 17:31:38.071995,2019-01-15 17:31:53.322999,ID_17
165,4,0.0,2019-01-15 17:33:03.768996,2019-01-15 17:33:03.768996,2019-01-15 17:33:18.775000,ID_17
166,5,0.0,2019-01-15 17:34:29.229003,2019-01-15 17:34:29.229003,2019-01-15 17:34:44.236003,ID_17
167,6,0.0,2019-01-15 17:35:55.935000,2019-01-15 17:35:55.935996,2019-01-15 17:36:10.942000,ID_17
168,7,0.0,2019-01-15 17:37:18.645998,2019-01-15 17:37:18.645998,2019-01-15 17:37:33.654004,ID_17
169,8,0.0,2019-01-15 17:38:43.596996,2019-01-15 17:38:43.353002,2019-01-15 17:38:58.603995,ID_17
170,9,0.0,2019-01-15 17:40:11.570005,2019-01-15 17:40:11.570005,2019-01-15 17:40:26.577004,ID_17
171,1,0.25,2019-01-15 17:41:40.399004,2019-01-15 17:41:40.152998,2019-01-15 17:41:55.404998,ID_17
172,2,0.25,2019-01-15 17:43:09.105000,2019-01-15 17:43:09.105000,2019-01-15 17:43:24.112000,ID_17
173,3,0.25,2019-01-15 17:44:36.305996,2019-01-15 17:44:36.305996,2019-01-15 17:44:51.312000,ID_17
174,4,0.25,2019-01-15 17:46:00.258005,2019-01-15 17:46:00.258005,2019-01-15 17:46:15.263999,ID_17
175,5,0.25,2019-01-15 17:47:24.467999,2019-01-15 17:47:24.467999,2019-01-15 17:47:39.474998,ID_17
176,6,0.25,2019-01-15 17:48:48.933000,2019-01-15 17:48:48.933000,2019-01-15 17:49:03.939004,ID_17
177,7,0.25,2019-01-15 17:50:16.389003,2019-01-15 17:50:16.389003,2019-01-15 17:50:31.394001,ID_17
178,8,0.25,2019-01-15 17:51:45.468001,2019-01-15 17:51:45.221996,2019-01-15 17:52:00.473995,ID_17
179,9,0.25,2019-01-15 17:53:12.677003,2019-01-15 17:53:12.677003,2019-01-15 17:53:27.682997,ID_17
180,1,0.5,2019-01-15 17:54:40.396996,2019-01-15 17:54:40.396996,2019-01-15 17:54:55.405002,ID_17
181,2,0.5,2019-01-15 17:56:05.227003,2019-01-15 17:56:04.982003,2019-01-15 17:56:20.234002,ID_17
182,3,0.5,2019-01-15 17:57:31.935997,2019-01-15 17:57:31.935997,2019-01-15 17:57:46.940995,ID_17
