Unnamed: 0,ID,Número da Trajetória,Overlap,Sequência Trajetória,N pontos trajetória,Blocos MATLAB,N blocos,Duração estimulação sensorial (s),Duração estimulação sensorial fórmula pretendida (s),Tempo 1,Tempo 2,Tempo 1 Corrigido,Tempo 3
44,ID_07,9,0.25,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,3.0,3.125,2019-01-09 11:00:01.192996,2019-01-09 11:00:01.194002,2019-01-09 10:59:58.194002,2019-01-09 11:00:16.199000
45,ID_07,1,0.5,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,1.25,1.5,2019-01-09 11:01:26.663001,2019-01-09 11:01:26.663001,2019-01-09 11:01:25.413001,2019-01-09 11:01:41.670001
46,ID_07,2,0.5,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,1.25,1.5,2019-01-09 11:02:51.138001,2019-01-09 11:02:50.893001,2019-01-09 11:02:49.643001,2019-01-09 11:03:06.145001
47,ID_07,3,0.5,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,1.25,1.5,2019-01-09 11:04:18.490997,2019-01-09 11:04:18.490997,2019-01-09 11:04:17.240997,2019-01-09 11:04:33.499003
48,ID_07,4,0.5,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,1.75,2.0,2019-01-09 11:05:43.961998,2019-01-09 11:05:43.961998,2019-01-09 11:05:42.211998,2019-01-09 11:05:58.968998
49,ID_07,5,0.5,"[13, 9, 10, 11, 15, 16, 12, 8, 4, 3, 2, 1, 5]",13,"[1, 2, 4, 5, 6, 9, 12, 13]",7,1.75,2.0,2019-01-09 11:07:07.692996,2019-01-09 11:07:07.692996,2019-01-09 11:07:05.942996,2019-01-09 11:07:22.699000
50,ID_07,6,0.5,"[13, 9, 5, 1, 2, 6, 10, 14, 15, 16, 12, 8, 4, 3, 7, 11]",16,"[1, 4, 5, 8, 10, 13, 14, 16]",7,1.75,2.0,2019-01-09 11:08:34.680002,2019-01-09 11:08:34.435002,2019-01-09 11:08:32.685002,2019-01-09 11:08:49.687002
51,ID_07,7,0.5,"[13, 9, 10, 14, 15, 16, 12, 8, 4, 3, 7, 6, 5, 1]",14,"[1, 2, 3, 4, 6, 9, 10, 11, 13, 14]",9,2.25,2.5,2019-01-09 11:10:01.806999,2019-01-09 11:10:01.561999,2019-01-09 11:09:59.311999,2019-01-09 11:10:16.813998
52,ID_07,8,0.5,"[13, 14, 15, 16, 12, 11, 7, 8, 3, 2, 1, 5, 9, 10]",14,"[1, 4, 5, 6, 7, 11, 13, 14]",7,1.75,2.0,2019-01-09 11:11:30.906998,2019-01-09 11:11:30.906998,2019-01-09 11:11:29.156998,2019-01-09 11:11:45.913998
53,ID_07,9,0.5,"[13, 9, 5, 6, 10, 11, 11, 15, 16, 12, 8, 4, 3, 7]",14,"[1, 3, 4, 5, 8, 9, 12, 13, 14]",8,2.0,2.25,2019-01-09 11:12:57.136997,2019-01-09 11:12:56.891997,2019-01-09 11:12:54.891997,2019-01-09 11:13:12.143001
54,ID_07,1,0.0,"[13, 9, 5, 1, 2, 3, 7, 11, 12, 8, 4]",11,"[1, 4, 6, 8, 9, 11]",5,2.5,2.5,2019-01-09 10:36:12.764001,2019-01-09 10:36:12.764001,2019-01-09 10:36:10.264001,2019-01-09 10:36:27.773998
55,ID_07,2,0.0,"[13, 14, 10, 11, 12, 8, 4, 3, 2]",9,"[1, 2, 3, 5, 7, 9]",5,2.5,2.5,2019-01-09 10:37:39.136999,2019-01-09 10:37:38.893005,2019-01-09 10:37:36.393005,2019-01-09 10:37:54.145004
56,ID_07,3,0.0,"[13, 9, 5, 6, 10, 14, 15, 16, 12, 8, 4]",11,"[1, 3, 4, 6, 8, 11]",5,2.5,2.5,2019-01-09 10:39:11.127005,2019-01-09 10:39:11.127005,2019-01-09 10:39:08.627005,2019-01-09 10:39:26.134004
57,ID_07,4,0.0,"[13, 14, 15, 11, 10, 9, 5, 6, 7, 8, 4, 3, 2, 1]",14,"[1, 3, 4, 6, 7, 10, 11, 14]",7,3.5,3.5,2019-01-09 10:40:40.116001,2019-01-09 10:40:40.116001,2019-01-09 10:40:36.616001,2019-01-09 10:40:55.123001
58,ID_07,5,0.0,"[13, 9, 10, 11, 15, 16, 12, 8, 4, 3, 2, 1, 5]",13,"[1, 2, 4, 5, 6, 9, 12, 13]",7,3.5,3.5,2019-01-09 10:42:04.615995,2019-01-09 10:42:04.615995,2019-01-09 10:42:01.115995,2019-01-09 10:42:19.623005
