Sorteio,Tempo 1,Tempo 2,ID,Fase,Score total,Score Parcial,Proporção espacial x,Proporção espacial y,Trajetória Completa,Trajetória Simplificada,Acuracia,Media Acuracia,Taxa de Falsos Positivos,Media FPR,Similaridade,Media Similaridade,Desempenho,Desempenho ponderado com proporção,Complexidade,nivel
5,737442.4946194792,737442.4949088541,df_ID_20,Fase Execucao,0.3,0.1962597721070875,0.8865384615384615,0.4218600191754554,"[1, 1, 3, 3, 3, 1, 2, 2, 2, 4, 4, 4]","[1, 3, 1, 2, 4]",0.75,0.5694444444444444,0.4,0.4182539682539682,0.8720983634634086,0.7489445473692184,0.7406994544878028,0.4845650204587341,4,Fácil
13,737442.4982414352,737442.4985307986,df_ID_20,Fase Execucao,0.6,0.5881805442879269,0.9692307692307692,0.9913710450623202,"[1, 3, 1, 3, 1, 3, 4, 4, 4, 2, 3, 3, 2, 3, 2, 4, 4, 4, 2, 4, 4, 4]","[1, 3, 1, 3, 1, 3, 4, 2, 3, 2, 3, 2, 4, 2, 4]",0.5,0.5694444444444444,1.0,0.4182539682539682,0.6166892270150894,0.7489445473692184,0.3722297423383631,0.364897154081222,4,Fácil
7,737442.5000906714,737442.5003800347,df_ID_20,Fase Execucao,0.3,0.2857439707943064,0.9576923076923076,0.947267497603068,"[1, 1, 3, 1, 3, 2, 3, 2, 2, 4, 1, 4, 2, 4, 2, 4, 4, 4]","[1, 3, 1, 3, 2, 3, 2, 4, 1, 4, 2, 4, 2, 4]",0.5625,0.5694444444444444,1.0,0.4182539682539682,0.7838180581610249,0.7489445473692184,0.448772686053675,0.4274469643233458,4,Fácil
8,737442.5014237384,737442.5017131019,df_ID_20,Fase Execucao,0.5238095238095237,0.5009138632221086,0.9403846153846154,0.972195589645254,"[1, 1, 1, 3, 3, 3, 2, 4, 4, 2, 2, 3, 1, 3, 2, 4, 4, 4]","[1, 3, 2, 4, 2, 3, 1, 3, 2, 4]",0.875,0.5694444444444444,1.0,0.4182539682539682,0.8291761914687816,0.7489445473692184,0.5680587304895939,0.5432289416143974,6,Médio
3,737442.5028835533,737442.5031729051,df_ID_20,Fase Execucao,0.8809523809523809,0.8420285989976786,0.9442307692307692,0.9674017257909876,"[1, 3, 1, 4, 1, 3, 3, 3, 2, 2, 4, 2, 3, 4, 4, 4]","[1, 3, 1, 4, 1, 3, 2, 4, 2, 3, 4]",0.875,0.5694444444444444,0.6666666666666666,0.4182539682539682,0.8256328089919834,0.7489445473692184,0.677988714108439,0.6480326285738538,6,Médio
18,737442.5042039236,737442.5044932754,df_ID_20,Fase Execucao,0.2857142857142857,0.2702061361457334,0.925,0.9664429530201344,"[1, 3, 3, 3, 1, 1, 4, 4, 4, 2, 3, 4, 1, 3, 2, 2, 2, 4, 4, 4, 4]","[1, 3, 1, 4, 2, 3, 4, 1, 3, 2, 4]",0.8125,0.5694444444444444,0.0,0.4182539682539682,0.8426099620566628,0.7489445473692184,0.8850366540188875,0.8369981712042719,6,Médio
6,737442.5053810301,737442.505670382,df_ID_20,Fase Execucao,0.5555555555555556,0.5312676696904886,0.9346153846153846,0.977948226270374,"[1, 3, 1, 1, 4, 3, 3, 2, 2, 3, 2, 4, 4, 4, 1, 1, 3, 3, 2, 4, 2, 2, 4, 4]","[1, 3, 1, 4, 3, 2, 3, 2, 4, 1, 3, 2, 4, 2, 4]",0.75,0.5694444444444444,1.0,0.4182539682539682,0.7316693394536524,0.7489445473692184,0.4938897798178841,0.4722978103340323,8,Difícil
11,737442.5061732176,737442.506462581,df_ID_20,Fase Execucao,0.1851851851851851,0.1793147506234754,0.9576923076923076,0.9789069990412272,"[1, 1, 1, 3, 3, 3, 2, 2, 2, 4, 4, 4, 3, 2, 4, 4, 3, 3, 2, 4, 4, 1, 3, 3, 2, 1, 1, 4, 4, 2, 2, 4]","[1, 3, 2, 4, 3, 2, 4, 3, 2, 4, 1, 3, 2, 1, 4, 2, 4]",0.75,0.5694444444444444,0.5,0.4182539682539682,0.6046066240618893,0.7489445473692184,0.6182022080206298,0.598604983736946,8,Difícil
15,737442.5072725578,737442.5075619097,df_ID_20,Fase Execucao,0.0925925925925925,0.0892124746990518,0.95,0.9769894534995206,"[1, 1, 2, 2, 1, 1, 1, 3, 3, 2, 3, 2, 2, 4, 4, 4, 3]","[1, 2, 1, 3, 2, 3, 2, 4, 3]",0.5625,0.5694444444444444,1.0,0.4182539682539682,0.8237306052901903,0.7489445473692184,0.4620768684300634,0.4452086260854088,8,Difícil
1,737442.5092146065,737442.5095039699,df_ID_20,Fase Execucao,0.2666666666666666,0.1744531307618556,0.8865384615384615,0.4218600191754554,"[2, 2, 3, 3, 3, 2, 1, 1, 1, 4, 4, 4]","[2, 3, 2, 1, 4]",0.5625,0.5694444444444444,0.0,0.4182539682539682,0.7778174593052023,0.7489445473692184,0.7801058197684009,0.5103446346905302,4,Fácil
